1232021-11-02 05:02:27,443 gpu device = 0
2021-11-02 05:21:01,502 train 050 1.073424e+00 73.100490 98.069853
2021-11-02 05:21:17,465 train 100 1.055250e+00 73.978960 98.128094
2021-11-02 05:21:33,474 train 150 1.025726e+00 74.937914 98.178808
2021-11-02 05:21:49,394 train 200 1.029257e+00 74.930037 98.196517
2021-11-02 05:22:05,302 train 250 1.027652e+00 74.838147 98.188496
2021-11-02 05:22:21,331 train 300 1.029018e+00 74.776786 98.193522
2021-11-02 05:22:37,340 train 350 1.031740e+00 74.768519 98.254986
2021-11-02 05:22:53,247 train 400 1.030357e+00 74.844140 98.238778
2021-11-02 05:23:09,269 train 450 1.023951e+00 74.996535 98.285061
2021-11-02 05:23:25,132 train 500 1.021691e+00 75.077969 98.303393
2021-11-02 05:23:41,082 train 550 1.019544e+00 75.119102 98.341084
2021-11-02 05:23:57,178 train 600 1.020417e+00 75.096194 98.346506
2021-11-02 05:24:13,051 train 650 1.014823e+00 75.232815 98.353495
2021-11-02 05:24:28,984 train 700 1.011135e+00 75.334344 98.368402
2021-11-02 05:24:44,920 train 750 1.010545e+00 75.380742 98.381325
2021-11-02 05:24:54,659 train_acc 75.430000
2021-11-02 05:24:54,804 valid 000 2.261030e-01 90.476189 100.000000
2021-11-02 05:24:57,322 valid 050 5.650448e-01 80.392156 98.786182
2021-11-02 05:24:59,942 valid 100 5.755336e-01 80.056576 98.868459
2021-11-02 05:25:02,311 valid 150 5.890415e-01 79.754020 98.833176
2021-11-02 05:25:04,848 valid 200 5.996473e-01 79.341388 98.625919
2021-11-02 05:25:07,240 valid 250 5.916751e-01 79.605387 98.709923
2021-11-02 05:25:09,677 valid 300 5.868221e-01 79.607656 98.845120
2021-11-02 05:25:12,035 valid 350 5.887748e-01 79.555012 98.833266
2021-11-02 05:25:14,589 valid 400 5.901076e-01 79.551122 98.812493
2021-11-02 05:25:17,141 valid 450 5.945261e-01 79.379157 98.806885
2021-11-02 05:25:18,404 valid_acc 79.459999
2021-11-02 05:25:18,405 epoch 5 lr 2.484610e-02
2021-11-02 05:25:18,899 train 000 7.129479e-01 84.375000 100.000000
2021-11-02 05:25:34,923 train 050 9.761850e-01 76.501225 98.253676
2021-11-02 05:25:50,833 train 100 9.634280e-01 76.531559 98.344678
2021-11-02 05:26:06,744 train 150 9.568764e-01 76.665977 98.427152
2021-11-02 05:26:22,526 train 200 9.535864e-01 76.717973 98.437500
2021-11-02 05:26:38,521 train 250 9.540325e-01 76.730578 98.431275
2021-11-02 05:26:54,420 train 300 9.522744e-01 76.853198 98.427118
2021-11-02 05:27:10,399 train 350 9.447573e-01 77.012108 98.419694
2021-11-02 05:27:26,377 train 400 9.448849e-01 76.983323 98.398535
2021-11-02 05:27:42,417 train 450 9.469666e-01 76.940133 98.378603
2021-11-02 05:27:58,396 train 500 9.441471e-01 77.014721 98.381362
2021-11-02 05:28:14,297 train 550 9.419353e-01 77.095622 98.411978
2021-11-02 05:28:30,322 train 600 9.410537e-01 77.092866 98.427101
2021-11-02 05:28:46,192 train 650 9.382695e-01 77.176939 98.430300
2021-11-02 05:29:02,150 train 700 9.375258e-01 77.233417 98.462019
2021-11-02 05:29:18,114 train 750 9.344176e-01 77.305260 98.472870
2021-11-02 05:29:28,015 train_acc 77.302000
2021-11-02 05:29:28,217 valid 000 3.562170e-01 85.714287 100.000000
